Date,Spot
2018-08-10,355.82
2018-08-11,318.59
2018-08-12,321.52
2018-08-13,308.04
2018-08-14,263.8
2018-08-15,287.48
2018-08-16,288.02
2018-08-17,300.0
2018-08-18,303.05
2018-08-19,296.89
2018-08-20,290.83
2018-08-21,277.87
2018-08-22,281.21
2018-08-23,273.5
2018-08-24,275.98
2018-08-25,279.41
2018-08-26,273.34
2018-08-27,276.4
2018-08-28,288.25
2018-08-29,291.95
2018-08-30,281.61
2018-08-31,280.74
2018-09-01,290.25
2018-09-02,294.0
2018-09-03,289.53
2018-09-04,287.07
2018-09-05,264.45
2018-09-06,225.92
2018-09-07,222.51
2018-09-08,211.74
2018-09-09,197.14
2018-09-10,195.92
2018-09-11,189.63
2018-09-12,175.54
2018-09-13,197.21
2018-09-14,213.06
2018-09-15,218.54
2018-09-16,217.86
2018-09-17,212.54
2018-09-18,203.13
2018-09-19,209.15
2018-09-20,210.46
2018-09-21,230.02
2018-09-22,240.62
2018-09-23,242.35
2018-09-24,236.29
2018-09-25,214.22
2018-09-26,214.9
2018-09-27,218.72
2018-09-28,225.62
2018-09-29,225.85
2018-09-30,232.24
2018-10-01,229.85
2018-10-02,227.39
2018-10-03,218.76
2018-10-04,222.5
2018-10-05,221.68
2018-10-06,224.66
2018-10-07,222.8
2018-10-08,225.79
2018-10-09,226.72
2018-10-10,223.44
2018-10-11,199.42
2018-10-12,194.3
2018-10-13,196.9
2018-10-14,197.11
2018-10-15,200.67
2018-10-16,204.1
2018-10-17,204.08
2018-10-18,201.72
2018-10-19,199.76
2018-10-20,201.96
2018-10-21,203.52
2018-10-22,201.43
2018-10-23,200.07
2018-10-24,201.36
2018-10-25,199.73
2018-10-26,200.33
2018-10-27,201.08
2018-10-28,201.6
2018-10-29,198.34
2018-10-30,194.5
2018-10-31,195.43
2018-11-01,196.84
2018-11-02,199.11
2018-11-03,198.85
2018-11-04,202.71
2018-11-05,207.87
2018-11-06,212.07
2018-11-07,218.22
2018-11-08,213.45
2018-11-09,209.56
2018-11-10,210.39
2018-11-11,209.38
2018-11-12,209.54
2018-11-13,205.9
2018-11-14,193.11
2018-11-15,174.84
2018-11-16,175.64
2018-11-17,172.08
2018-11-18,174.16
2018-11-19,157.44
2018-11-20,136.05
2018-11-21,131.63
2018-11-22,131.47
2018-11-23,120.93
2018-11-24,119.83
2018-11-25,107.76
2018-11-26,110.55
2018-11-27,104.9
2018-11-28,115.77
2018-11-29,118.09
2018-11-30,114.15
2018-12-01,114.82
2018-12-02,115.88
2018-12-03,110.21
2018-12-04,109.08
2018-12-05,105.15
2018-12-06,98.42
2018-12-07,86.57
2018-12-08,90.04
2018-12-09,92.06
2018-12-10,90.59
2018-12-11,87.76
2018-12-12,88.57
2018-12-13,87.99
2018-12-14,84.43
2018-12-15,82.8
2018-12-16,85.17
2018-12-17,88.19
2018-12-18,93.71
2018-12-19,102.63336805555599
2018-12-20,107.22118055555599
2018-12-21,112.257986111111
2018-12-22,109.938923611111
2018-12-23,127.8028125
2018-12-24,145.141111111111
2018-12-25,127.77736111111099
2018-12-26,129.55449646811002
2018-12-27,122.77857638888901
2018-12-28,122.096076388889
2018-12-29,136.599027777778
2018-12-30,135.843333333333
2018-12-31,134.568194444444
2019-01-01,133.763645833333
2019-01-02,146.7146875
2019-01-03,149.553993055556
2019-01-04,150.521701388889
2019-01-05,156.900104166667
2019-01-06,153.239409722222
2019-01-07,153.235104166667
2019-01-08,149.44111111111098
2019-01-09,150.4234375
2019-01-10,135.225173611111
2019-01-11,126.131284722222
2019-01-12,125.63295138888901
2019-01-13,121.22881944444401
2019-01-14,120.975034722222
2019-01-15,126.31006944444401
2019-01-16,121.71170138888901
2019-01-17,121.074652777778
2019-01-18,120.799027777778
2019-01-19,122.648333333333
2019-01-20,120.160625
2019-01-21,116.44340277777799
2019-01-22,116.92493055555599
2019-01-23,117.504965277778
2019-01-24,115.84642361111099
2019-01-25,115.558958333333
2019-01-26,115.65284722222201
2019-01-27,113.7753125
2019-01-28,105.544930555556
2019-01-29,104.263111888112
2019-01-30,105.936875
2019-01-31,106.830347222222
2019-02-01,105.135729166667
2019-02-02,106.385
2019-02-03,107.087430555556
2019-02-04,106.136527777778
2019-02-05,105.915659722222
2019-02-06,102.394583333333
2019-02-07,103.63854166666701
2019-02-08,109.05569444444401
2019-02-09,117.7371875
2019-02-10,117.24319444444401
2019-02-11,119.67076388888901
2019-02-12,119.43114583333299
2019-02-13,121.258541666667
2019-02-14,120.83263888888901
2019-02-15,120.63118055555599
2019-02-16,121.64767361111099
2019-02-17,124.801215277778
2019-02-18,139.49954861111098
2019-02-19,145.65572916666702
