Date,Spot
2015-08-11,0.8
2015-08-12,1.15
2015-08-13,1.53
2015-08-14,1.97
2015-08-15,1.71
2015-08-16,1.31
2015-08-17,1.39
2015-08-18,1.27
2015-08-19,1.2
2015-08-20,1.39
2015-08-21,1.48
2015-08-22,1.42
2015-08-23,1.36
2015-08-24,1.34
2015-08-25,1.26
2015-08-26,1.17
2015-08-27,1.16
2015-08-28,1.24
2015-08-29,1.17
2015-08-30,1.28
2015-08-31,1.25
2015-09-01,1.33
2015-09-02,1.34
2015-09-03,1.28
2015-09-04,1.23
2015-09-05,1.35
2015-09-06,1.36
2015-09-07,1.31
2015-09-08,1.3
2015-09-09,1.26
2015-09-10,1.19
2015-09-11,1.05
2015-09-12,1.06
2015-09-13,0.97
2015-09-14,0.96
2015-09-15,0.92
2015-09-16,0.95
2015-09-17,0.88
2015-09-18,0.88
2015-09-19,0.87
2015-09-20,0.91
2015-09-21,0.96
2015-09-22,0.88
2015-09-23,0.9
2015-09-24,0.84
2015-09-25,0.73
2015-09-26,0.71
2015-09-27,0.76
2015-09-28,0.68
2015-09-29,0.6
2015-09-30,0.68
2015-10-01,0.7
2015-10-02,0.67
2015-10-03,0.7
2015-10-04,0.68
2015-10-05,0.66
2015-10-06,0.64
2015-10-07,0.65
2015-10-08,0.61
2015-10-09,0.62
2015-10-10,0.65
2015-10-11,0.64
2015-10-12,0.64
2015-10-13,0.63
2015-10-14,0.57
2015-10-15,0.55
2015-10-16,0.53
2015-10-17,0.53
2015-10-18,0.52
2015-10-19,0.5
2015-10-20,0.48
2015-10-21,0.45
2015-10-22,0.46
2015-10-23,0.56
2015-10-24,0.55
2015-10-25,0.64
2015-10-26,0.68
2015-10-27,0.81
2015-10-28,0.87
2015-10-29,1.05
2015-10-30,1.18
2015-10-31,0.95
2015-11-01,0.98
2015-11-02,1.02
2015-11-03,0.98
2015-11-04,0.89
2015-11-05,0.92
2015-11-06,0.91
2015-11-07,0.92
2015-11-08,0.94
2015-11-09,1.02
2015-11-10,0.99
2015-11-11,0.86
2015-11-12,0.85
2015-11-13,0.88
2015-11-14,0.9
2015-11-15,0.9
2015-11-16,0.82
2015-11-17,0.95
2015-11-18,0.99
2015-11-19,0.97
2015-11-20,0.94
2015-11-21,0.95
2015-11-22,0.99
2015-11-23,0.94
2015-11-24,0.96
2015-11-25,0.88
2015-11-26,0.86
2015-11-27,0.88
2015-11-28,0.91
2015-11-29,0.88
2015-11-30,0.89
2015-12-01,0.88
2015-12-02,0.85
2015-12-03,0.81
2015-12-04,0.82
2015-12-05,0.85
2015-12-06,0.86
2015-12-07,0.82
2015-12-08,0.8
2015-12-09,0.79
2015-12-10,0.81
2015-12-11,0.84
2015-12-12,0.96
2015-12-13,0.96
2015-12-14,0.98
2015-12-15,0.99
2015-12-16,0.94
2015-12-17,0.95
2015-12-18,0.92
2015-12-19,0.9
2015-12-20,0.99
2015-12-21,0.93
2015-12-22,0.9
2015-12-23,0.89
2015-12-24,0.86
2015-12-25,0.88
2015-12-26,0.91
2015-12-27,0.86
2015-12-28,0.88
2015-12-29,0.89
2015-12-30,0.93
2015-12-31,0.94
2016-01-01,1.04
2016-01-02,0.96
2016-01-03,0.98
2016-01-04,0.95
2016-01-05,0.93
2016-01-06,0.95
2016-01-07,0.96
2016-01-08,1.0
2016-01-09,0.99
2016-01-10,1.02
2016-01-11,1.06
2016-01-12,1.15
2016-01-13,1.11
2016-01-14,1.14
2016-01-15,1.25
2016-01-16,1.26
2016-01-17,1.23
2016-01-18,1.43
2016-01-19,1.36
2016-01-20,1.43
2016-01-21,1.49
2016-01-22,1.55
2016-01-23,1.73
2016-01-24,2.14
2016-01-25,2.3
2016-01-26,2.57
2016-01-27,2.42
2016-01-28,2.43
2016-01-29,2.5
2016-01-30,2.48
2016-01-31,2.4
2016-02-01,2.2
2016-02-02,2.24
2016-02-03,2.37
2016-02-04,2.54
2016-02-05,2.53
2016-02-06,2.5
2016-02-07,2.68
2016-02-08,3.07
2016-02-09,3.53
2016-02-10,4.28
2016-02-11,4.9
2016-02-12,5.72
2016-02-13,4.92
2016-02-14,4.88
2016-02-15,5.38
2016-02-16,4.81
2016-02-17,4.08
2016-02-18,4.05
2016-02-19,4.47
2016-02-20,4.45
2016-02-21,4.4
2016-02-22,5.08
2016-02-23,5.67
2016-02-24,5.77
2016-02-25,6.19
2016-02-26,5.98
2016-02-27,6.21
2016-02-28,6.39
2016-02-29,6.4
2016-03-01,6.72
2016-03-02,7.92
2016-03-03,9.19
2016-03-04,9.26
2016-03-05,10.96
2016-03-06,10.97
2016-03-07,10.2
2016-03-08,9.59
2016-03-09,10.57
2016-03-10,11.63
2016-03-11,11.08
2016-03-12,12.79
2016-03-13,14.17
2016-03-14,13.52
2016-03-15,12.73
2016-03-16,13.26
2016-03-17,11.61
2016-03-18,10.17
2016-03-19,10.59
2016-03-20,10.27
2016-03-21,10.98
2016-03-22,11.58
2016-03-23,11.83
2016-03-24,11.41
2016-03-25,10.79
2016-03-26,10.9
2016-03-27,10.7
2016-03-28,11.25
2016-03-29,11.61
2016-03-30,11.8
2016-03-31,11.8
2016-04-01,11.66
2016-04-02,11.53
2016-04-03,11.56
2016-04-04,11.34
2016-04-05,10.76
2016-04-06,10.63
2016-04-07,10.43
2016-04-08,9.91
2016-04-09,9.67
2016-04-10,8.64
2016-04-11,8.53
2016-04-12,7.9
2016-04-13,7.8
2016-04-14,8.4
2016-04-15,8.37
2016-04-16,8.3
2016-04-17,9.26
2016-04-18,9.08
2016-04-19,9.05
2016-04-20,8.65
2016-04-21,8.49
2016-04-22,8.05
2016-04-23,8.06
2016-04-24,8.22
2016-04-25,7.86
2016-04-26,7.38
2016-04-27,7.64
2016-04-28,7.43
2016-04-29,7.48
2016-04-30,8.25
2016-05-01,8.7
2016-05-02,9.56
2016-05-03,9.62
2016-05-04,9.55
2016-05-05,9.56
2016-05-06,9.68
2016-05-07,9.33
2016-05-08,9.27
2016-05-09,9.42
2016-05-10,9.37
2016-05-11,9.67
2016-05-12,10.12
2016-05-13,10.59
2016-05-14,10.21
2016-05-15,10.16
2016-05-16,10.5
2016-05-17,11.75
2016-05-18,12.99
2016-05-19,13.91
2016-05-20,14.26
2016-05-21,13.55
2016-05-22,14.02
